Date,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual
2017-01-11,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2017-01-10,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2017-01-09,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2017-01-06,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2017-01-05,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2017-01-04,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2017-01-03,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-30,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-29,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-28,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-27,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-23,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-22,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-21,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-20,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-19,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-16,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-15,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-14,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-13,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-12,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-09,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-08,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-07,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-06,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-05,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-02,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-12-01,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-30,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-29,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-28,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-25,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-23,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-22,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-21,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-18,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-17,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-16,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-15,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-14,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-11,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-10,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-09,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-08,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-07,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-04,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-03,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-02,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-11-01,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-31,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-28,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-27,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-26,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-25,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-24,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-21,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-20,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-19,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-18,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-17,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-14,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-13,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-12,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-11,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-10,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-07,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-06,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-05,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-04,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-10-03,0.0,0.381,0.946,0.281,0.219,0.001,0.103,10.481,12.128,,7.652,1.026,0.212,-0.11
2016-09-30,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-29,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-28,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-27,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-26,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-23,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-22,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-21,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-20,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-19,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-16,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-15,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-14,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-13,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-12,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-09,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-08,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-07,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-06,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-02,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-09-01,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-31,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-30,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-29,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-26,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-25,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-24,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-23,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-22,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-19,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-18,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-17,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-16,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-15,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-12,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-11,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-10,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-09,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-08,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-05,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-04,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-03,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-02,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-08-01,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-29,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-28,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-27,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-26,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-25,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-22,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-21,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-20,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-19,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-18,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-15,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-14,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-13,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-12,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-11,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-08,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-07,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-06,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-05,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-07-01,0.0,0.333,0.948,0.252,0.179,0.001,0.107,10.362,12.038,,7.042,1.047,0.23,-0.083
2016-06-30,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-29,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-28,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-27,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-24,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-23,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-22,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-21,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-20,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-17,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-16,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-15,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-14,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-13,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-10,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-09,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-08,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-07,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-06,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-03,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-02,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-06-01,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-31,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-27,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-26,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-25,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-24,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-23,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-20,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-19,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-18,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-17,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-16,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-13,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-12,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-11,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-10,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-09,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-06,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-05,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-04,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-03,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-05-02,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-29,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-28,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-27,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-26,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-25,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-22,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-21,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-20,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-19,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-18,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-15,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-14,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-13,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-12,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-11,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-08,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-07,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-06,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-05,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-04,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-04-01,0.0,0.292,0.949,0.23,0.15,0.001,0.112,10.105,11.841,,7.263,1.057,0.244,-0.095
2016-03-31,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-30,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-29,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-28,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-24,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-23,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-22,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-21,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-18,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-17,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-16,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-15,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-14,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-11,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-10,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-09,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-08,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-07,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-04,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-03,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-02,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-03-01,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-02-29,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-02-26,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-02-25,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-02-24,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-02-23,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-02-22,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-02-19,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
2016-02-18,0.0,0.249,0.949,0.207,0.121,0.002,0.115,9.317,11.01,,6.389,1.066,0.258,-0.106
